Fecha;PM2.5(µg/m³);PM1(µg/m³);SO2(µg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);Ozono(µg/m³)
01/01/2014;1;1;0;4;13;1;19;55
02/01/2014;2;1;0;6;25;2;34;46
03/01/2014;2;1;1;11;39;3;55;33
04/01/2014;1;1;;2;11;4;15;57
05/01/2014;2;1;;0;4;2;4;60
06/01/2014;2;1;1;13;25;2;44;44
07/01/2014;8;6;3;52;66;12;145;23
08/01/2014;12;11;4;68;56;16;161;28
09/01/2014;27;26;3;24;50;30;87;18
10/01/2014;29;27;2;9;56;32;71;13
11/01/2014;20;19;1;19;59;22;87;13
12/01/2014;18;17;1;20;39;19;69;22
13/01/2014;8;7;0;7;46;9;57;25
14/01/2014;2;1;1;5;32;3;40;41
15/01/2014;3;3;3;15;31;5;54;30
16/01/2014;4;3;;21;37;5;70;28
17/01/2014;4;3;;5;31;6;38;35
18/01/2014;5;5;;5;35;6;43;28
19/01/2014;2;1;;1;16;2;18;48
20/01/2014;1;1;;2;17;3;20;52
21/01/2014;3;2;;2;27;4;29;40
22/01/2014;6;5;;24;45;7;81;23
23/01/2014;4;3;;23;55;6;91;27
24/01/2014;3;2;;2;30;5;33;46
25/01/2014;1;1;;3;13;2;17;51
26/01/2014;1;1;;2;15;2;18;45
27/01/2014;2;1;;1;10;4;12;56
28/01/2014;2;1;;1;11;4;12;57
29/01/2014;2;1;;1;18;3;20;57
30/01/2014;2;1;;4;21;4;28;48
31/01/2014;5;4;;3;30;10;34;36
01/02/2014;4;4;;2;10;7;13;44
02/02/2014;2;1;;0;7;4;7;56
03/02/2014;5;4;;3;24;10;29;38
04/02/2014;6;4;;9;35;11;49;45
05/02/2014;6;3;;6;29;15;39;51
06/02/2014;10;6;;7;33;15;43;43
07/02/2014;3;2;;0;9;9;10;57
08/02/2014;4;2;;0;3;10;4;62
09/02/2014;5;4;;0;5;7;5;60
10/02/2014;2;1;;1;13;3;14;60
11/02/2014;3;2;;3;26;5;31;49
12/02/2014;4;3;;;;6;;39
13/02/2014;2;1;;;;4;;38
14/02/2014;3;2;;7;25;5;36;36
15/02/2014;8;6;;10;33;12;48;35
16/02/2014;6;5;;0;14;8;14;37
17/02/2014;9;7;;6;18;10;27;34
18/02/2014;17;14;;24;51;27;88;23
